match_id,team1_p1,team1_p2,team2_p1,team2_p2,team1_score,team2_score
1,Sophia,Kelado,Kostis,Maria,,
2,Stylianos,Ioanna,Achilleas,Aldo,,
3,Sophia,Maria,Kelado,Ioanna,,
4,Kostis,Aldo,Stylianos,Achilleas,,
5,Sophia,Ioanna,Maria,Aldo,,
6,Kelado,Achilleas,Kostis,Stylianos,,
7,Sophia,Aldo,Ioanna,Achilleas,,
8,Maria,Stylianos,Kelado,Kostis,,
9,Sophia,Achilleas,Aldo,Stylianos,,
10,Ioanna,Kostis,Maria,Kelado,,
11,Sophia,Stylianos,Achilleas,Kostis,,
12,Aldo,Kelado,Ioanna,Maria,,
13,Sophia,Kostis,Stylianos,Kelado,,
14,Achilleas,Maria,Aldo,Ioanna,,
